Class_Name,Common_Name,Description,Habitat,Average_Size
Ocean_Goldfish,Goldfish (Marine context),"Small, usually bright orange or yellowish fish often kept in aquariums or ponds.","Freshwater, sometimes found in coastal marine ponds.",15-30 cm
Ocean_Harbor_seal,Harbor Seal,"Pinniped with a rounded head and spotted coat, found along coastal waters.",Coastal waters of the Northern Hemisphere.,1.5-1.9 m
Ocean_Jellyfish,Jellyfish,Gelatinous sea creatures with umbrella-shaped bells and trailing tentacles.,Oceanic and coastal waters worldwide.,Varies (5 cm to 2 m)
Ocean_Lobster,Lobster,Large marine crustaceans with muscular tails and claws.,"Rocky, sandy, or muddy ocean bottoms.",25-50 cm
Ocean_Oyster,Oyster,"Saltwater bivalve mollusks with irregular, hard shells.","Beds in shallow, salty or brackish waters.",5-20 cm
Ocean_Sea_turtle,Sea Turtle,Marine reptiles with streamlined shells and flippers.,Tropical and subtropical ocean waters.,60-120 cm
Ocean_Squid,Squid,"Cephalopods with elongated bodies, large eyes, and eight arms.",Open ocean and deep sea waters.,30-60 cm (variable)
Ocean_Starfish,Starfish,Star-shaped echinoderms with central discs and radiating arms.,Benthic ocean floors from shallows to depths.,12-24 cm
PL_Amur_Bialy,Grass Carp,Large herbivorous freshwater fish with an elongated body.,Large rivers and lakes with vegetation.,60-100 cm
PL_Belona,Garfish,"Long, slender fish with needle-like jaws and green bones.",Coastal marine waters and the Baltic Sea.,50-75 cm
PL_Bolen,Asp,Fast predatory fish of the carp family with a large mouth.,Flowing rivers and large reservoirs.,50-80 cm
PL_Brzana,Common Barbel,"Slender fish with four barbels on its snout, living in fast-flowing water.","Clear, fast-flowing rivers with gravel bottoms.",30-70 cm
PL_Certa,Vimba Bream,"Silver fish with a distinctive curved nose, migrates for spawning.",Rivers flowing into the Baltic Sea.,25-45 cm
PL_Ciernik,Three-spined Stickleback,Small fish with sharp spines on its back and sides.,"Rivers, lakes, and coastal marine waters.",5-8 cm
PL_Dorsz,Atlantic Cod,Commercially important marine fish with a barbel under the chin.,"Deep, cold waters of the North Atlantic and Baltic.",40-100 cm
PL_Fladra_Stornia,European Flounder,"Flatfish with eyes usually on the right side, found in coastal areas.","Coastal waters, estuaries, and the Baltic Sea.",25-40 cm
PL_Gladzica,European Plaice,Flatfish with smooth brown skin and bright orange spots.,Sandy or muddy ocean floors.,30-50 cm
PL_Glowacica,Huchen (Danube Salmon),"Large predatory salmonid with a long, cylindrical body.","Clean, cold rivers (mainly the Danube basin).",70-110 cm
PL_Jaz,Ide (Orfe),Silver-colored freshwater fish with reddish fins.,"Rivers, lakes, and ponds.",30-50 cm
PL_Jazgarz,Ruffe,"Small, aggressive freshwater fish with spiny fins.",Lakes and slow-moving rivers.,10-15 cm
PL_Jelec,Common Dace,"Small, slender silver fish found in clean running water.",Fast rivers and streams.,15-25 cm
PL_Karas_Pospolity,Crucian Carp,"Hardy, golden-brown fish that can survive in low oxygen conditions.","Stagnant waters, ponds, and shallow lakes.",20-35 cm
PL_Karas_Srebrzysty,Prussian Carp,"Silver-colored relative of the crucian carp, highly invasive.",Slow rivers and ponds.,20-40 cm
PL_Karp,Common Carp,"Large, robust freshwater fish widely farmed for food.","Warm, slow-moving rivers and lakes.",40-80 cm
PL_Kielb,Gudgeon,Small bottom-dwelling fish with two barbels at the corners of its mouth.,Clean rivers and streams with sandy bottoms.,10-15 cm
PL_Kielb_Krotkopletwy,Shortfin Gudgeon,Rare relative of the gudgeon found in specific river systems.,"Clean, flowing waters.",8-12 cm
PL_Klen,Chub,Robust predatory fish with a broad head and large scales.,Rivers and streams of all sizes.,30-50 cm
PL_Krap,White Bream,Small relative of the common bream with larger eyes and reddish fins.,Lakes and slow rivers.,20-30 cm
